INSTNM	ADDR	CITY	STABBR	ZIP	LONGITUD	LATITUDE										
Pacific School of Religion	1798 Scenic Ave	Berkeley	CA	94709	-122.263331	37.876599										
Laney College	900 Fallon Sreet	Oakland	CA	94607	-122.262434	37.796205										
Graduate Theological Union	2400 Ridge Rd	Berkeley	CA	94709	-122.261847	37.87554										
Starr King School for Ministry	2441 Le Conte AVE	Berkeley	CA	94709	-122.261778	37.876939										
Church Divinity School of the Pacific	2451 Ridge Road	Berkeley	CA	94709	-122.261391	37.876169										
University of California-Berkeley	200 California Hall	Berkeley	CA	94720	-122.260401	37.871519										
Pacific Lutheran Theological Seminary	2770 Marin Ave	Berkeley	CA	94708	-122.260201	37.898172										
Peralta Community College System Office	333 E Eighth St	Oakland	CA	94606	-122.259719	37.793018										
American Baptist Seminary of the West	2606 Dwight Way	Berkeley	CA	94704	-122.256149	37.865252										
International Academy of Design and Technology-Seattle	645 Andover Park West	Tukwila	WA	98188	-122.255062	47.450291										
Le Cordon Bleu College of Culinary Arts-Seattle	360 Corporate Dr North	Tukwila	WA	98188	-122.25504	47.45122										
The Wright Institute	2728 Durant Ave	Berkeley	CA	94704	-122.253168	37.868221										
Hinton Barber College	1029-A Tennessee St	Vallejo	CA	94590	-122.24568	38.109809										
Avalon School of Cosmetology-Alameda	2318 Central Ave	Alameda	CA	94501	-122.243566	37.764203										
California Maritime Academy	200 Maritime Academy Dr	Vallejo	CA	94590	-122.231551	38.069061										
Cascade Beauty College	435 E Main St	Auburn	WA	98002	-122.223312	47.308073										
Evergreen Beauty and Barber College-Everett	802 SE Everett Mall Way Ste A	Everett	WA	98208	-122.221962	47.909189										
International College of Cosmetology	3701 International Boulevard	Oakland	CA	94601	-122.220871	37.77491										
Pima Medical Institute-Renton	555 South Renton Village Pl-Ste 400	Renton	WA	98057	-122.211383	47.469017										
Trinity Lutheran College	2802 Wetmore Ave.	Everett	WA	98201	-122.207663	47.980328										
Everett Community College	2000 Tower Street	Everett	WA	98201	-122.204736	48.006626										
ITT Technical Institute-Oakland	7901 Oakport Street	Oakland	CA	94621	-122.199761	37.74234										
Northwest University	5520 108th Ave NE	Kirkland	WA	98083	-122.191505	47.657743										
Cascadia Community College	18345 Campus Way NE	Bothell	WA	98011	-122.191108	47.759958										
Mills College	5000 MacArthur Blvd	Oakland	CA	94613	-122.18789	37.782639										
Holy Names University	3500 Mountain Blvd	Oakland	CA	94619	-122.18717	37.802654										
Palo Alto University	1791 Arastradero Rd	Palo Alto	CA	94304	-122.186022	37.383251										
Stanford University	 	Stanford	CA	94305	-122.182212	37.431746										
Renton Technical College	3000 NE Fourth St	Renton	WA	98056	-122.178944	47.488606										
Green River Community College	12401 SE 320th St	Auburn	WA	98092	-122.178175	47.312277										
SUM Bible College and Theological Seminary	735 - 105th Ave	Oakland	CA	94603	-122.177765	37.734083										
Saint Patrick's Seminary and University	320 Middlefield Rd	Menlo Park	CA	94025	-122.167951	37.45886										
Merritt College	12500 Campus Dr	Oakland	CA	94619	-122.167335	37.789088										
Northern California Institute of Cosmetology Inc	601 East 14th Street	San Leandro	CA	94577	-122.160591	37.73053										
DigiPen Institute of Technology	9931 Willows Rd NE	Redmond	WA	98052	-122.150481	47.68924										
Bellevue College	3000 Landerholm Cir SE	Bellevue	WA	98007	-122.149955	47.584778										
Foothill College	12345 El Monte Rd	Los Altos Hills	CA	94022	-122.12833	37.361104										
Foothill-De Anza Community College District	12345 El Monte Rd	Los Altos Hills	CA	94022	-122.127054	37.360961										
Life Chiropractic College West	25001 Industrial Blvd	Hayward	CA	94545	-122.11627	37.637639										
NCP College of Nursing-Hayward	21615 Hesperian Boulevard	Hayward	CA	94541	-122.115801	37.66066										
Heald College-Hayward	25500 Industrial Blvd.	Hayward	CA	94545	-122.114939	37.636589										
Sofia University	1069 East Meadow Cr	Palo Alto	CA	94303	-122.10866	37.430325										
Chabot College	25555 Hesperian Blvd	Hayward	CA	94545	-122.106969	37.642513										
Saint Mary's College of California	1928 Saint Marys Road	Moraga	CA	94575	-122.106795	37.83997										
University of California-Santa Cruz	1156 High St	Santa Cruz	CA	95064	-122.067993	36.997258										
California State University-East Bay	25800 Carlos Bee Blvd	Hayward	CA	94542	-122.058073	37.65707										
InterCoast Colleges-Fairfield	1652 West Texas Street	Fairfield	CA	94533	-122.057781	38.24966										
ITT Technical Institute-Concord	1140 Galaxy Way Ste 400	Concord	CA	94520	-122.054354	37.975746										
Milan Institute of Cosmetology-Fairfield	934 Missouri Street	Fairfield	CA	94533	-122.0455	38.248448										
De Anza College	21250 Stevens Creek Blvd.	Cupertino	CA	95014	-122.045365	37.319176										
Paris Beauty College	1655 Willow Pass Road	Concord	CA	94520	-122.043458	37.972204										
Heald College-Concord	5130 Commercial Circle	Concord	CA	94520	-122.030047	38.018938										
Mt Diablo Adult Education	Loma Vista Adult Center - 1266 San Carlos Avenue.	Concord	CA	94518	-122.027121	37.9684										
Cogswell College	1175 Bordeaux  Drive	Sunnyvale	CA	94089	-122.024177	37.407027										
